QUAL	0	210.1	1	1	0	0
QUAL	0	210.3	3	2	1	0
QUAL	0	210.4	9	7	2	0
QUAL	0	210.5	1	1	0	0
QUAL	0	211.0	47	28	19	0
QUAL	0	211.3	7	6	1	0
QUAL	0	211.4	12	10	2	0
QUAL	0	211.5	1	1	0	0
QUAL	0	212.0	35	19	16	0
QUAL	0	212.2	1	1	0	0
QUAL	0	212.4	28	21	7	0
QUAL	0	212.5	3	1	2	0
QUAL	0	213.0	38	25	13	0
QUAL	0	213.1	1	0	1	0
QUAL	0	213.3	1	1	0	0
QUAL	0	213.4	12	7	5	0
QUAL	0	213.5	1	0	1	0
QUAL	0	214.0	53	36	17	0
QUAL	0	214.2	1	1	0	0
QUAL	0	214.3	6	4	2	0
QUAL	0	214.4	16	7	9	0
QUAL	0	215.0	40	26	14	0
QUAL	0	215.1	1	0	1	0
QUAL	0	215.2	5	1	4	0
QUAL	0	215.4	35	22	13	0
QUAL	0	215.5	1	1	0	0
QUAL	0	216.0	36	26	10	0
QUAL	0	216.2	1	0	1	0
QUAL	0	216.3	3	1	2	0
QUAL	0	216.4	9	7	2	0
QUAL	0	217.0	40	29	11	0
QUAL	0	217.1	2	0	2	0
QUAL	0	217.2	2	2	0	0
QUAL	0	217.3	9	7	2	0
QUAL	0	217.4	13	10	3	0
QUAL	0	218.0	45	32	13	0
QUAL	0	218.1	1	1	0	0
QUAL	0	218.2	2	2	0	0
QUAL	0	218.4	16	13	3	0
QUAL	0	219.0	47	32	15	0
QUAL	0	219.2	1	1	0	0
QUAL	0	219.3	1	0	1	0
QUAL	0	219.4	11	9	2	0
QUAL	0	219.5	1	1	0	0
QUAL	0	220.0	50	33	17	0
QUAL	0	220.1	1	1	0	0
QUAL	0	220.3	4	4	0	0
QUAL	0	220.4	11	7	4	0
QUAL	0	221.0	47	34	13	0
QUAL	0	221.1	1	0	1	0
QUAL	0	221.2	2	1	1	0
QUAL	0	221.4	25	16	9	0
QUAL	0	221.7	2	1	1	0
QUAL	0	222.0	33	23	10	0
QUAL	0	222.1	1	0	1	0
QUAL	0	222.2	1	1	0	0
QUAL	0	222.3	1	1	0	0
QUAL	0	222.4	7	2	5	0
QUAL	0	222.5	2	2	0	0
QUAL	0	223.0	53	35	18	0
QUAL	0	223.1	2	2	0	0
QUAL	0	223.3	5	4	1	0
QUAL	0	223.4	17	15	2	0
QUAL	0	224.0	35	24	11	0
QUAL	0	224.1	1	1	0	0
QUAL	0	224.2	2	1	1	0
QUAL	0	224.4	24	13	11	0
QUAL	0	224.5	1	0	1	0
QUAL	0	224.9	1	0	1	0
QUAL	0	225.0	37	21	16	0
QUAL	0	225.2	2	0	2	0
QUAL	0	225.4	7	5	2	0
QUAL	0	225.5	1	0	1	0
QUAL	0	226.0	44	28	16	0
QUAL	0	226.1	3	3	0	0
QUAL	0	226.2	1	1	0	0
QUAL	0	226.3	3	2	1	0
QUAL	0	226.4	17	10	7	0
QUAL	0	226.5	1	1	0	0
QUAL	0	227.0	44	27	17	0
QUAL	0	227.2	3	3	0	0
QUAL	0	227.3	2	1	1	0
QUAL	0	227.4	24	16	8	0
QUAL	0	228.0	40	21	19	0
QUAL	0	228.1	3	2	1	0
QUAL	0	228.2	2	0	2	0
QUAL	0	228.4	9	7	2	0
QUAL	0	228.5	1	0	1	0
QUAL	0	229.0	57	35	22	0
QUAL	0	229.1	1	0	1	0
QUAL	0	229.2	2	1	1	0
QUAL	0	229.3	6	4	2	0
